UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:01122781n,bn:03441107n,bn:17096510n,bn:01614149n;sculpture;4;true;true;0.663;4[o     0.525] INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:00022154n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00010851n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:15125301n), COUNTRY(X, y_0)
bn:00639230n,bn:18855411n,bn:07307980n,bn:17776566n;sculpture;4;true;true;0.665;4[o     0.514] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00032645n), COUNTRY(X, y_0)
bn:04119130n,bn:02004706n,bn:15484710n,bn:17347930n;sculpture;4;true;true;0.664;4[o     0.521] INSTANCE_OF(X, bn:00032645n)
bn:03809663n,bn:07591580n,bn:07955624n,bn:07599702n;sculpture;4;true;true;0.665;4[o     0.530] INSTANCE_OF(X, bn:00066026n), COUNTRY(X, y_0)
bn:02290567n,bn:05879664n,bn:06901842n,bn:01211263n;sculpture;4;true;true;0.664;4[o     0.537] INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:15125301n), INSTANCE_OF(X, bn:14421293n), COUNTRY(X, y_0)
bn:17719555n,bn:03606521n,bn:03074890n,bn:06585401n;sculpture;4;true;true;0.666;4[o     0.521] INSTANCE_OF(X, bn:17175797n), INSTANCE_OF(X, bn:03830506n), INSTANCE_OF(X, bn:00046978n)
bn:00777466n,bn:03649960n,bn:02756599n,bn:00968121n;sculpture;4;true;true;0.784;4[o     0.655] INSTANCE_OF(X, bn:15125301n), INSTANCE_OF(X, bn:00074033n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00076732n), INSTANCE_OF(X, bn:17175797n)
bn:07645615n,bn:16774729n,bn:00668777n,bn:15787778n;sculpture;4;true;true;0.665;4[o     0.550] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:15125301n)
bn:01062351n,bn:02339111n,bn:16451649n,bn:00975795n;sculpture;4;true;true;0.665;4[o     0.540] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00032645n), COUNTRY(X, y_0)
bn:07304375n,bn:00381267n,bn:01070313n,bn:01945225n;sculpture;4;true;true;0.669;4[o     0.554] INSTANCE_OF(X, bn:17175797n), INSTANCE_OF(X, bn:03830506n), INSTANCE_OF(X, bn:00010851n), INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00022154n)
bn:00750567n,bn:01426543n,bn:15455196n,bn:00883087n;sculpture;4;true;true;0.661;4[o     0.587] INSTANCE_OF(X, bn:00022154n), INSTANCE_OF(X, bn:00010851n), INSTANCE_OF(X, bn:17175797n), INSTANCE_OF(X, bn:03830506n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:14265130n)
bn:01966527n,bn:15459399n,bn:00507822n,bn:04885616n;sculpture;4;true;true;0.665;4[o     0.554] INSTANCE_OF(X, bn:00066026n), COUNTRY(X, y_0)
bn:01062351n,bn:14042504n,bn:02547926n,bn:01611082n;sculpture;4;true;true;0.664;4[o     0.563] INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:14421293n)
bn:03818959n,bn:01643263n,bn:01386188n,bn:01577145n;sculpture;4;true;true;0.665;4[o     0.522] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00032645n), COUNTRY(X, y_0)
bn:02837956n,bn:18161245n,bn:03629234n,bn:00242834n;sculpture;4;true;true;0.667;4[o     0.529] INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00022154n), INSTANCE_OF(X, bn:17175797n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:03830506n), INSTANCE_OF(X, bn:00010851n), COUNTRY(X, y_0)
bn:01813454n,bn:13861095n,bn:14584675n,bn:03486784n;sculpture;4;true;true;0.663;4[o     0.533] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00032645n), COUNTRY(X, y_0)
bn:02075777n,bn:00479780n,bn:02607152n,bn:03740621n;sculpture;4;true;true;0.669;4[o     0.568] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00032645n), COUNTRY(X, y_0)
bn:07304106n,bn:01303413n,bn:01499555n,bn:02613405n;sculpture;4;true;true;0.664;4[o     0.553] INSTANCE_OF(X, bn:00975793n), INSTANCE_OF(X, bn:00022154n), INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00010851n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:03830506n)
