UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:01566877n,bn:03223964n,bn:03117704n,bn:01994442n;university;4;true;true;0.664;4[o     0.502] INSTANCE_OF(X, bn:00079152n)
bn:01156716n,bn:14754233n,bn:00986869n,bn:15640324n;university;4;true;true;0.667;4[o     0.513] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:00681787n,bn:00281640n,bn:01642489n,bn:01416661n;university;4;true;true;0.666;4[o     0.546] INSTANCE_OF(X, bn:00079152n)
bn:03411398n,bn:02922972n,bn:03776932n,bn:01277169n;university;4;true;true;0.662;4[o     0.515] INSTANCE_OF(X, bn:00079152n)
bn:10917498n,bn:03887895n,bn:01049982n,bn:07315009n;university;4;true;true;0.665;4[o     0.508] INSTANCE_OF(X, bn:00079152n)
bn:03104717n,bn:02760763n,bn:00294996n,bn:03850653n;university;4;true;true;0.666;4[o     0.532] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:00228748n,bn:17360698n,bn:03405087n,bn:02831380n;university;4;true;true;0.662;4[o     0.522] INSTANCE_OF(X, bn:00079152n)
bn:00741236n,bn:16641828n,bn:00857248n,bn:03218121n;university;4;true;true;0.664;4[o     0.518] INSTANCE_OF(X, bn:00079152n)
bn:02809101n,bn:02810731n,bn:17534082n,bn:02840286n;university;4;true;true;0.666;4[o     0.512] INSTANCE_OF(X, bn:00079152n)
bn:16419894n,bn:01974394n,bn:17508165n,bn:01845376n;university;4;true;true;0.664;4[o     0.557] INSTANCE_OF(X, bn:00079152n)
bn:01641401n,bn:14210050n,bn:00433076n,bn:07718565n;university;4;true;true;0.667;4[o     0.517] INSTANCE_OF(X, bn:00079152n)
bn:03357745n,bn:04037041n,bn:00382200n,bn:01874528n;university;4;true;true;0.776;4[o     0.603] INSTANCE_OF(X, bn:00079152n)
bn:16176879n,bn:00353709n,bn:03703787n,bn:16104415n;university;4;true;true;0.662;4[o     0.509] INSTANCE_OF(X, bn:00079152n)
bn:03180917n,bn:03232450n,bn:00526062n,bn:01047361n;university;4;true;true;0.661;4[o     0.530] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:02118150n,bn:14716592n,bn:01216561n,bn:02991203n;university;4;true;true;0.777;4[o     0.609] INSTANCE_OF(X, bn:00079152n)
bn:16976920n,bn:03812791n,bn:01892921n,bn:14249539n;university;4;true;true;0.665;4[o     0.509] INSTANCE_OF(X, bn:00079152n)
bn:14629174n,bn:18419480n,bn:00631796n,bn:03594311n;university;4;true;true;0.66;4[o     0.515] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:17458225n,bn:01646315n,bn:05882743n,bn:02914154n;university;4;true;true;0.665;4[o     0.518] INSTANCE_OF(X, bn:00079152n)
bn:04696206n,bn:04260088n,bn:03255181n,bn:02612068n;university;4;true;true;0.773;4[o     0.596] INSTANCE_OF(X, bn:00079152n)
bn:03231115n,bn:00653203n,bn:01049884n,bn:00670097n;university;4;true;true;0.665;4[o     0.502] INSTANCE_OF(X, bn:00079152n)
bn:03769057n,bn:00824687n,bn:02912726n,bn:00756325n;university;4;true;true;0.668;4[o     0.545] INSTANCE_OF(X, bn:00079152n)
bn:02920278n,bn:02847179n,bn:03588014n,bn:06984065n;university;4;true;true;0.671;4[o     0.515] INSTANCE_OF(X, bn:00079152n)
bn:02599346n,bn:17454303n,bn:02663985n,bn:01064330n;university;4;true;true;0.668;4[o     0.516] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:03785960n,bn:02991487n,bn:00561785n,bn:02273842n;university;4;true;true;0.668;4[o     0.533] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:16287794n,bn:00375405n,bn:00929150n,bn:02574019n;university;4;true;true;0.664;4[o     0.509] INSTANCE_OF(X, bn:00079152n)
bn:01057920n,bn:03298065n,bn:00955292n,bn:01965424n;university;4;true;true;0.664;4[o     0.515] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:02735257n,bn:03309029n,bn:17016382n,bn:02553624n;university;4;true;true;0.778;4[o     0.612] INSTANCE_OF(X, bn:00079152n)
bn:14503621n,bn:16333188n,bn:03660695n,bn:00880421n;university;4;true;true;0.664;4[o     0.514] INSTANCE_OF(X, bn:00079152n)
bn:00416864n,bn:03812701n,bn:03252742n,bn:01773988n;university;4;true;true;0.667;4[o     0.521] INSTANCE_OF(X, bn:00079152n)
bn:03445935n,bn:03812604n,bn:06797310n,bn:02861475n;university;4;true;true;0.662;4[o     0.512] INSTANCE_OF(X, bn:00079152n)
bn:06869234n,bn:00446020n,bn:02212822n,bn:01842571n;university;4;true;true;0.671;4[o     0.506] INSTANCE_OF(X, bn:00079152n)
bn:03071295n,bn:01858264n,bn:03823930n,bn:03282035n;university;4;true;true;0.667;4[o     0.513] INSTANCE_OF(X, bn:00079152n)
bn:01624354n,bn:01746892n,bn:14925280n,bn:02321199n;university;4;true;true;0.668;4[o     0.508] INSTANCE_OF(X, bn:00079152n)
bn:17426794n,bn:14051792n,bn:14475502n,bn:03462305n;university;4;true;true;0.663;4[o     0.520] INSTANCE_OF(X, bn:00079152n)
bn:02650437n,bn:00795385n,bn:14445061n,bn:00142237n;university;4;true;true;0.77;4[o     0.606] INSTANCE_OF(X, bn:00079152n)
bn:00852099n,bn:02621051n,bn:17533737n,bn:00928859n;university;4;true;true;0.665;4[o     0.505] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:02677157n,bn:03771387n,bn:03762974n,bn:17437024n;university;4;true;true;0.665;4[o     0.521] INSTANCE_OF(X, bn:00079152n)
bn:03632061n,bn:02144737n,bn:01935860n,bn:03763842n;university;4;true;true;0.665;4[o     0.504] INSTANCE_OF(X, bn:00079152n)
bn:03261070n,bn:03390163n,bn:17662087n,bn:00118523n;university;4;true;true;0.666;4[o     0.523] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:15730597n,bn:00446964n,bn:03812764n,bn:15723748n;university;4;true;true;0.776;4[o     0.608] INSTANCE_OF(X, bn:00079152n)
bn:02021873n,bn:04814350n,bn:02861261n,bn:00745151n;university;4;true;true;0.658;4[o     0.501] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:01580999n,bn:00588123n,bn:05883749n,bn:06024752n;university;4;true;true;0.665;4[o     0.514] INSTANCE_OF(X, bn:00079152n)
bn:16595954n,bn:15270045n,bn:03227157n,bn:00637802n;university;4;true;true;0.665;4[o     0.502] INSTANCE_OF(X, bn:00079152n)
bn:00923042n,bn:02815365n,bn:01829414n,bn:01235008n;university;4;true;true;0.665;4[o     0.522] INSTANCE_OF(X, bn:00079152n)
bn:14066428n,bn:00165969n,bn:13976102n,bn:03633028n;university;4;true;true;0.665;4[o     0.521] INSTANCE_OF(X, bn:00079152n)
bn:15806183n,bn:01212861n,bn:01115407n,bn:02864158n;university;4;true;true;0.664;4[o     0.513] INSTANCE_OF(X, bn:00079152n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0)
bn:01312666n,bn:01334258n,bn:17451420n,bn:17324060n;university;4;true;true;0.669;4[o     0.505] INSTANCE_OF(X, bn:00079152n)
bn:14566394n,bn:02903752n,bn:03086267n,bn:02834977n;university;4;true;true;0.666;4[o     0.514] INSTANCE_OF(X, bn:00079152n)
bn:02410110n,bn:03488291n,bn:03430310n,bn:14545866n;university;4;true;true;0.666;4[o     0.533] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:02446427n,bn:00768852n,bn:02765954n,bn:03812780n;university;4;true;true;0.662;4[o     0.513] INSTANCE_OF(X, bn:00079152n)
bn:03451170n,bn:02825537n,bn:00880421n,bn:00895659n;university;4;true;true;0.667;4[o     0.518] INSTANCE_OF(X, bn:00079152n)
bn:01423346n,bn:00181452n,bn:02501972n,bn:02027240n;university;4;true;true;0.671;4[o     0.522] INSTANCE_OF(X, bn:00079152n)
bn:15071014n,bn:02661011n,bn:02663298n,bn:03277315n;university;4;true;true;0.67;4[o     0.525] INSTANCE_OF(X, bn:00079152n)
bn:14519947n,bn:01575456n,bn:03092828n,bn:15150636n;university;4;true;true;0.664;4[o     0.505] INSTANCE_OF(X, bn:00079152n)
bn:01296590n,bn:08456543n,bn:01830836n,bn:14239949n;university;4;true;true;0.671;4[o     0.523] INSTANCE_OF(X, bn:00079152n)
bn:01945889n,bn:02508098n,bn:16101243n,bn:14850372n;university;4;true;true;0.661;4[o     0.503] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:01945680n,bn:14595211n,bn:02729978n,bn:03352417n;university;4;true;true;0.682;4[o     0.516] INSTANCE_OF(X, bn:00079152n)
bn:02087629n,bn:03086267n,bn:18986953n,bn:02192228n;university;4;true;true;0.666;4[o     0.513] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:03383947n,bn:02798122n,bn:03812921n,bn:02448506n;university;4;true;true;0.669;4[o     0.527] INSTANCE_OF(X, bn:00079152n)
bn:17028398n,bn:15728900n,bn:00696648n,bn:03959592n;university;4;true;true;0.774;4[o     0.605] INSTANCE_OF(X, bn:00079152n)
bn:00263578n,bn:01205882n,bn:15537617n,bn:00696648n;university;4;true;true;0.661;4[o     0.534] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:17249833n,bn:02745560n,bn:00447920n,bn:15101118n;university;4;true;true;0.781;4[o     0.634] INSTANCE_OF(X, bn:00079152n)
bn:16675192n,bn:02156747n,bn:00806731n,bn:03812751n;university;4;true;true;0.664;4[o     0.528] INSTANCE_OF(X, bn:00079152n)
bn:14821277n,bn:03326115n,bn:02436235n,bn:00615624n;university;4;true;true;0.673;4[o     0.528] INSTANCE_OF(X, bn:00079152n)
bn:01267517n,bn:15597394n,bn:00957964n,bn:02076030n;university;4;true;true;0.664;4[o     0.503] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:02156756n,bn:01393109n,bn:01249061n,bn:02636845n;university;4;true;true;0.665;4[o     0.530] INSTANCE_OF(X, bn:00079152n)
bn:17493123n,bn:01245985n,bn:03436679n,bn:00496570n;university;4;true;true;0.669;4[o     0.516] INSTANCE_OF(X, bn:00079152n)
bn:13883843n,bn:14247797n,bn:15544374n,bn:17308054n;university;4;true;true;0.665;4[o     0.507] INSTANCE_OF(X, bn:00079152n)
bn:11039497n,bn:01913666n,bn:01065462n,bn:17712884n;university;4;true;true;0.665;4[o     0.503] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:03189330n,bn:06871312n,bn:00206776n,bn:15774373n;university;4;true;true;0.664;4[o     0.518] INSTANCE_OF(X, bn:00079152n)
bn:09169553n,bn:17439187n,bn:01595946n,bn:01198565n;university;4;true;true;0.664;4[o     0.505] INSTANCE_OF(X, bn:00079152n)
bn:01413720n,bn:03757068n,bn:02330562n,bn:02601292n;university;4;true;true;0.667;4[o     0.512] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:00490330n,bn:00805214n,bn:00695157n,bn:15548246n;university;4;true;true;0.66;4[o     0.524] INSTANCE_OF(X, bn:00079152n)
bn:02238842n,bn:13885065n,bn:03467078n,bn:01805199n;university;4;true;true;0.666;4[o     0.513] INSTANCE_OF(X, bn:00079152n)
bn:01724290n,bn:02770477n,bn:02842677n,bn:02380602n;university;4;true;true;0.661;4[o     0.518] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:03500335n,bn:14425857n,bn:03667691n,bn:01048655n;university;4;true;true;0.666;4[o     0.515] INSTANCE_OF(X, bn:00079152n)
bn:03813488n,bn:01039603n,bn:03386435n,bn:00369404n;university;4;true;true;0.664;4[o     0.522] INSTANCE_OF(X, bn:00079152n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), COUNTRY(X, y_1)
bn:06078790n,bn:03231115n,bn:01463415n,bn:01349202n;university;4;true;true;0.663;4[o     0.532] INSTANCE_OF(X, bn:00079152n)
