UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:02871232n,bn:02398698n,bn:02308308n;vehicle;3;true;true;0.66;3[o     0.485] INSTANCE_OF(X, bn:00079675n)
bn:01099945n,bn:03092991n,bn:01619903n;vehicle;3;true;true;0.662;3[o     0.476] INSTANCE_OF(X, bn:00079675n)
bn:00984604n,bn:01493522n,bn:05158585n;vehicle;3;true;true;0.666;3[o     0.496] INSTANCE_OF(X, bn:00079675n)
bn:00195085n,bn:02729079n,bn:00314812n;vehicle;3;true;true;0.662;3[o     0.586] INSTANCE_OF(X, bn:00023497n)
bn:02752436n,bn:00618805n,bn:02535727n;vehicle;3;true;true;0.663;3[o     0.572] INSTANCE_OF(X, bn:00079862n)
bn:02959620n,bn:02072907n,bn:02461867n;vehicle;3;true;true;0.659;3[o     0.488] INSTANCE_OF(X, bn:00079675n)
bn:02512681n,bn:04888700n,bn:00918230n;vehicle;3;true;true;0.657;3[o     0.573] INSTANCE_OF(X, bn:00023497n)
bn:00927314n,bn:02416793n,bn:03260653n;vehicle;3;true;true;0.771;3[o     0.587] INSTANCE_OF(X, bn:00079862n)
bn:06448722n,bn:14668257n,bn:05151802n;vehicle;3;true;true;0.654;3[o     0.485] INSTANCE_OF(X, bn:00079675n)
bn:01455573n,bn:02298366n,bn:00594504n;vehicle;3;true;true;0.663;3[o     0.579] INSTANCE_OF(X, bn:00079675n)
bn:02606136n,bn:13987258n,bn:01319793n;vehicle;3;true;true;0.666;3[o     0.488] INSTANCE_OF(X, bn:00079675n)
bn:16267103n,bn:03257865n,bn:01343364n;vehicle;3;true;true;0.772;3[o     0.590] INSTANCE_OF(X, bn:15125301n), INSTANCE_OF(X, bn:00022154n), INSTANCE_OF(X, bn:00010851n), INSTANCE_OF(X, bn:00023497n), INSTANCE_OF(X, bn:00070574n)
bn:00784812n,bn:17716520n,bn:01116019n;vehicle;3;true;true;0.653;3[o     0.479] INSTANCE_OF(X, bn:03325965n)
bn:03310159n,bn:03529658n,bn:00283166n;vehicle;3;true;true;0.654;3[o     0.485] INSTANCE_OF(X, bn:00079675n)
bn:00391485n,bn:17600486n,bn:00978315n;vehicle;3;true;true;0.662;3[o     0.575] INSTANCE_OF(X, bn:00079675n)
bn:01722641n,bn:03654251n,bn:03722778n;vehicle;3;true;true;0.664;3[o     0.508] INSTANCE_OF(X, bn:00023497n)
bn:01825883n,bn:01809931n,bn:00863105n;vehicle;3;true;true;0.655;3[o     0.517] INSTANCE_OF(X, bn:00079675n)
bn:03691626n,bn:16012484n,bn:05134227n;vehicle;3;true;true;0.663;3[o     0.502] INSTANCE_OF(X, bn:00079675n)
bn:00609742n,bn:01398750n,bn:02528852n;vehicle;3;true;true;0.656;3[o     0.575] INSTANCE_OF(X, bn:00079862n)
bn:03009271n,bn:00174334n,bn:00622157n;vehicle;3;true;true;0.663;3[o     0.500] INSTANCE_OF(X, bn:00079675n), MANUFACTURER(X, y_0)
bn:08667678n,bn:00710473n,bn:01022718n;vehicle;3;true;true;0.665;3[o     0.493] INSTANCE_OF(X, bn:00079675n)
bn:00710473n,bn:00894365n,bn:00267954n;vehicle;3;true;true;0.656;3[o     0.502] INSTANCE_OF(X, bn:00079675n)
