UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:01054160n,bn:03235519n;video_game;2;true;true;0.664;2[o     0.523] INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0), DISTRIBUTION(X, y_1), DEVELOPER(X, y_2), PLATFORM(X, y_3), PUBLISHER(X, y_4)
bn:00292040n,bn:14123467n;video_game;2;true;true;0.661;2[o     0.515] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), GENRE(X, bn:02912413n), PUBLISHER(X, y_0), DISTRIBUTION(X, y_1), PLATFORM(X, y_2)
bn:01856277n,bn:18493810n;video_game;2;true;true;0.665;2[o     0.509] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0), GENRE(X, y_1), DISTRIBUTION(X, y_2)
bn:01511907n,bn:00996459n;video_game;2;true;true;0.664;2[o     0.510] INSTANCE_OF(X, bn:00021477n)
bn:03138911n,bn:03459249n;video_game;2;true;true;0.656;2[o     0.512] GAME_MODE(X, bn:02858895n), INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), DISTRIBUTION(X, y_0), DEVELOPER(X, y_1), GENRE(X, y_2), PLATFORM(X, y_3), PUBLISHER(X, y_4)
bn:02080728n,bn:14085736n;video_game;2;true;true;0.661;2[o     0.513] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:02858895n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0), GENRE(X, y_1), PUBLISHER(X, y_2)
bn:01971941n,bn:02230676n;video_game;2;true;true;0.664;2[o     0.513] INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0), PUBLISHER(X, y_1), PLATFORM(X, y_2)
bn:03796056n,bn:02970602n;video_game;2;true;true;0.656;2[o     0.528] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PUBLISHER(X, y_0), DEVELOPER(X, y_1), PLATFORM(X, y_2), GENRE(X, y_3)
bn:00781791n,bn:01089608n;video_game;2;true;true;0.664;2[o     0.511] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:00461482n,bn:02313026n;video_game;2;true;true;0.664;2[o     0.512] INSTANCE_OF(X, bn:00021477n), PUBLISHER(X, y_0), GENRE(X, y_1), GAME_MODE(X, y_2), DEVELOPER(X, y_3), PLATFORM(X, y_4)
bn:03716317n,bn:03054147n;video_game;2;true;true;0.662;2[o     0.504] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1), DEVELOPER(X, y_2)
bn:00272444n,bn:00194777n;video_game;2;true;true;0.664;2[o     0.515] INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0)
bn:01297301n,bn:00396728n;video_game;2;true;true;0.668;2[o     0.508] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PUBLISHER(X, y_0), DISTRIBUTION(X, y_1), GENRE(X, y_2), PLATFORM(X, y_3)
bn:15063681n,bn:02612570n;video_game;2;true;true;0.663;2[o     0.553] INSTANCE_OF(X, bn:10477255n), PLATFORM(X, bn:01840349n), INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), GAME_MODE(X, bn:02858895n), GENRE(X, y_0), DISTRIBUTION(X, y_1), SERIES(X, y_2), DEVELOPER(X, y_3)
bn:14664041n,bn:14024751n;video_game;2;true;true;0.662;2[o     0.513] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), GENRE(X, y_0), PLATFORM(X, y_1)
bn:03106371n,bn:01744178n;video_game;2;true;true;0.656;2[o     0.548] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:02858895n), PLATFORM(X, y_0), DEVELOPER(X, y_1), PUBLISHER(X, y_1)
bn:00930464n,bn:15440345n;video_game;2;true;true;0.663;2[o     0.514] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:14130558n,bn:15799922n;video_game;2;true;true;0.665;2[o     0.517] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0), DISTRIBUTION(X, y_1), DEVELOPER(X, y_2), GENRE(X, y_3), PUBLISHER(X, y_4)
bn:01029482n,bn:03496859n;video_game;2;true;true;0.665;2[o     0.504] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1), PUBLISHER(X, y_2), DISTRIBUTION(X, y_3)
bn:01307772n,bn:14390313n;video_game;2;true;true;0.663;2[o     0.509] INSTANCE_OF(X, bn:00021477n)
bn:01404195n,bn:03497433n;video_game;2;true;true;0.665;2[o     0.531] INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0)
bn:14658689n,bn:01397320n;video_game;2;true;true;0.664;2[o     0.518] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), DISTRIBUTION(X, y_0), PLATFORM(X, y_1), GENRE(X, y_2), PUBLISHER(X, y_3), DEVELOPER(X, y_3)
bn:03648515n,bn:00326932n;video_game;2;true;true;0.663;2[o     0.548] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), INPUT_DEVICE(X, bn:00021482n), PLATFORM(X, y_0), DEVELOPER(X, y_1), GENRE(X, y_2), PUBLISHER(X, y_3)
bn:17414857n,bn:08992126n;video_game;2;true;true;0.664;2[o     0.501] INSTANCE_OF(X, bn:00021477n)
bn:02800869n,bn:02156983n;video_game;2;true;true;0.662;2[o     0.520] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, bn:00081305n), INSTANCE_OF(X, bn:03155501n), PLATFORM(X, bn:03623084n), GENRE(X, y_0), DISTRIBUTION(X, y_1)
bn:00617041n,bn:03631957n;video_game;2;true;true;0.665;2[o     0.513] INSTANCE_OF(X, bn:00021477n), PUBLISHER(X, y_0), DEVELOPER(X, y_1), PLATFORM(X, y_2)
bn:09678592n,bn:02275775n;video_game;2;true;true;0.667;2[o     0.514] INSTANCE_OF(X, bn:00021477n)
bn:01554228n,bn:01279906n;video_game;2;true;true;0.664;2[o     0.507] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), GENRE(X, bn:02593992n), PLATFORM(X, y_0), DEVELOPER(X, y_1), PUBLISHER(X, y_2), DISTRIBUTION(X, y_3)
bn:06387965n,bn:01673059n;video_game;2;true;true;0.666;2[o     0.513] PLATFORM(X, bn:03162256n), INSTANCE_OF(X, bn:00021477n)
bn:02396727n,bn:15437362n;video_game;2;true;true;0.668;2[o     0.511] GAME_MODE(X, bn:02858895n), INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), DEVELOPER(X, y_0), PLATFORM(X, y_1), PUBLISHER(X, y_2)
bn:02160355n,bn:01792347n;video_game;2;true;true;0.666;2[o     0.513] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), PUBLISHER(X, y_1)
bn:03186534n,bn:03300390n;video_game;2;true;true;0.663;2[o     0.507] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:03174429n,bn:03129906n;video_game;2;true;true;0.663;2[o     0.518] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:02858895n), PLATFORM(X, bn:00081305n), PUBLISHER(X, y_0), GENRE(X, y_1)
bn:03291107n,bn:02412842n;video_game;2;true;true;0.664;2[o     0.509] GAME_MODE(X, bn:02858895n), INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0), PUBLISHER(X, y_1), DEVELOPER(X, y_1)
bn:00667287n,bn:00293663n;video_game;2;true;true;0.666;2[o     0.521] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), GENRE(X, y_0), PLATFORM(X, y_1), DISTRIBUTION(X, y_2), PUBLISHER(X, y_3)
bn:17115040n,bn:02280771n;video_game;2;true;true;0.665;2[o     0.511] PLATFORM(X, bn:16948048n), PLATFORM(X, bn:00814446n), INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), DEVELOPER(X, y_0), GENRE(X, y_1), DISTRIBUTION(X, y_2), PUBLISHER(X, y_3)
bn:10753918n,bn:00361219n;video_game;2;true;true;0.659;2[o     0.500] INSTANCE_OF(X, bn:00021477n)
bn:02143022n,bn:02422616n;video_game;2;true;true;0.665;2[o     0.508] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), GENRE(X, y_0), PLATFORM(X, y_1)
bn:03223021n,bn:03341153n;video_game;2;true;true;0.665;2[o     0.508] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:00420916n,bn:00356511n;video_game;2;true;true;0.666;2[o     0.498] INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0)
bn:01256926n,bn:03240168n;video_game;2;true;true;0.665;2[o     0.514] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), DEVELOPER(X, y_0), PUBLISHER(X, y_1), PLATFORM(X, y_2), GENRE(X, y_3)
bn:02736730n,bn:02321402n;video_game;2;true;true;0.665;2[o     0.532] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), DEVELOPER(X, y_0), GENRE(X, y_1), PLATFORM(X, y_2), PUBLISHER(X, y_3)
bn:00384450n,bn:17385250n;video_game;2;true;true;0.66;2[o     0.519] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:14633959n,bn:02577233n;video_game;2;true;true;0.664;2[o     0.520] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:15216266n,bn:03806948n;video_game;2;true;true;0.665;2[o     0.514] INSTANCE_OF(X, bn:00021477n)
bn:16742977n,bn:00120960n;video_game;2;true;true;0.664;2[o     0.512] INSTANCE_OF(X, bn:00021477n), DEVELOPER(X, y_0), PUBLISHER(X, y_1), INPUT_DEVICE(X, y_2), PLATFORM(X, y_3), GENRE(X, y_4)
bn:03137961n,bn:10189912n;video_game;2;true;true;0.663;2[o     0.563] INSTANCE_OF(X, bn:00021477n)
bn:00713472n,bn:03394481n;video_game;2;true;true;0.667;2[o     0.514] INSTANCE_OF(X, bn:00021477n), BASED_ON(X, y_0), PLATFORM(X, y_1), PUBLISHER(X, y_2)
bn:17494593n,bn:03953697n;video_game;2;true;true;0.665;2[o     0.534] INSTANCE_OF(X, bn:00021477n), SERIES(X, y_0)
bn:14418375n,bn:01933827n;video_game;2;true;true;0.665;2[o     0.513] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:03318041n,bn:02487895n;video_game;2;true;true;0.665;2[o     0.508] INSTANCE_OF(X, bn:00021477n)
bn:03352471n,bn:02551758n;video_game;2;true;true;0.663;2[o     0.518] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0)
bn:01626703n,bn:03731292n;video_game;2;true;true;0.665;2[o     0.529] INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0), DEVELOPER(X, y_1), PLATFORM(X, y_2)
bn:00721781n,bn:02116905n;video_game;2;true;true;0.665;2[o     0.513] INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0), PLATFORM(X, y_1)
bn:14637434n,bn:01220336n;video_game;2;true;true;0.663;2[o     0.509] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
