UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:03034241n,bn:02875133n,bn:00921747n;scientist;3;true;true;0.77;3[o     0.696] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), COUNTRY_OF_CITIZENSHIP(X, y_0), GIVEN_NAME(X, y_1), OCCUPATION(X, y_2), EDUCATED_AT(X, y_3)
bn:05490129n,bn:02784893n,bn:00118157n;scientist;3;true;true;0.778;3[o     0.692] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00069680n), OCCUPATION(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:02904242n,bn:01247827n,bn:03322916n;scientist;3;true;true;0.771;3[o     0.689] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), GIVEN_NAME(X, y_0), OCCUPATION(X, y_1)
bn:00973400n,bn:04720707n,bn:05585167n;scientist;3;true;true;0.776;3[o     0.670] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), GIVEN_NAME(X, y_0), INSTANCE_OF(X, y_1), OCCUPATION(X, y_1), COUNTRY_OF_CITIZENSHIP(X, y_2)
bn:00043834n,bn:03392409n,bn:03594721n;scientist;3;true;true;0.771;3[o     0.692] INSTANCE_OF(X, bn:00069680n)
bn:02224741n,bn:04708737n,bn:00397996n;scientist;3;true;true;0.88;3[o     0.693] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00069680n), OCCUPATION(X, y_0)
bn:02197937n,bn:08565785n,bn:02727312n;scientist;3;true;true;0.771;3[o     0.696] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), GIVEN_NAME(X, y_0)
bn:00050696n,bn:00310989n,bn:05379323n;scientist;3;true;true;0.77;3[o     0.690] COUNTRY_OF_CITIZENSHIP(X, bn:00026684n), INSTANCE_OF(X, bn:00044576n), OCCUPATION(X, bn:14897279n), INSTANCE_OF(X, bn:00069680n), GIVEN_NAME(X, y_0), EMPLOYER(X, y_1)
bn:02390530n,bn:00010911n,bn:03454836n;scientist;3;true;true;0.775;3[o     0.660] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), OCCUPATION(X, y_0), GIVEN_NAME(X, y_1)
bn:01351943n,bn:03291420n,bn:05317307n;scientist;3;true;true;0.775;3[o     0.665] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), PLACE_OF_BIRTH(X, y_0), OCCUPATION(X, y_1), COUNTRY_OF_CITIZENSHIP(X, y_2)
bn:01279848n,bn:03208243n,bn:03351175n;scientist;3;true;true;0.88;3[o     0.694] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00010548n), COUNTRY_OF_CITIZENSHIP(X, bn:00013173n), OCCUPATION(X, y_0), GIVEN_NAME(X, y_1)
bn:00695130n,bn:03310997n,bn:02784665n;scientist;3;true;true;0.783;3[o     0.667] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), PLACE_OF_DEATH(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1), OCCUPATION(X, y_2), GIVEN_NAME(X, y_3)
bn:05407875n,bn:03733610n,bn:01808149n;scientist;3;true;true;0.771;3[o     0.680] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), GIVEN_NAME(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1), OCCUPATION(X, y_2), INSTANCE_OF(X, y_2)
bn:01417696n,bn:02802862n,bn:01850958n;scientist;3;true;true;0.773;3[o     0.678] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, y_0), OCCUPATION(X, y_0), GIVEN_NAME(X, y_1)
bn:04843535n,bn:00675462n,bn:01990338n;scientist;3;true;true;0.88;3[o     0.705] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00069680n), COUNTRY_OF_CITIZENSHIP(X, y_0), GIVEN_NAME(X, y_1)
bn:03892248n,bn:03621982n,bn:02643101n;scientist;3;true;true;0.779;3[o     0.665] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), OCCUPATION(X, y_0), INSTANCE_OF(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:00855574n,bn:00770246n,bn:03673300n;scientist;3;true;true;0.775;3[o     0.656] INSTANCE_OF(X, bn:00069680n)
bn:00621055n,bn:00192953n,bn:03672209n;scientist;3;true;true;0.774;3[o     0.681] INSTANCE_OF(X, bn:00069680n)
bn:01788041n,bn:01179736n,bn:03312045n;scientist;3;true;true;0.769;3[o     0.676] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, y_0), OCCUPATION(X, y_0)
bn:03207483n,bn:02558230n,bn:03631061n;scientist;3;true;true;0.771;3[o     0.676] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), OCCUPATION(X, y_0), GIVEN_NAME(X, y_1)
bn:01226201n,bn:02489130n,bn:01305368n;scientist;3;true;true;0.775;3[o     0.651] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00069680n), OCCUPATION(X, y_0)
bn:02895401n,bn:01663680n,bn:00163958n;scientist;3;true;true;0.777;3[o     0.698] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), EDUCATED_AT(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1), OCCUPATION(X, y_2), INSTANCE_OF(X, y_2)
bn:00962254n,bn:03262995n,bn:05228437n;scientist;3;true;true;0.773;3[o     0.670] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), OCCUPATION(X, y_0), INSTANCE_OF(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1), PLACE_OF_BIRTH(X, y_2)
