UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:02096854n,bn:16209122n,bn:02763087n;sculpture;3;true;true;0.664;3[o     0.494] INSTANCE_OF(X, bn:00032645n), COUNTRY(X, y_0)
bn:00306480n,bn:16167045n,bn:01929303n;sculpture;3;true;true;0.661;3[o     0.559] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00032645n)
bn:04573663n,bn:16367570n,bn:02753123n;sculpture;3;true;true;0.663;3[o     0.537] INSTANCE_OF(X, bn:00975793n), INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:15125301n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:00074049n), INSTANCE_OF(X, bn:00062167n), INSTANCE_OF(X, bn:00074033n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00076732n)
bn:01031000n,bn:03033040n,bn:02930388n;sculpture;3;true;true;0.668;3[o     0.550] INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:00046038n), COUNTRY(X, y_0)
bn:07308655n,bn:16057982n,bn:14029609n;sculpture;3;true;true;0.663;3[o     0.545] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00032645n)
bn:17973791n,bn:03781438n,bn:01553162n;sculpture;3;true;true;0.668;3[o     0.560] INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:00074033n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:00076732n), INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00021547n), INSTANCE_OF(X, bn:00975793n)
bn:00974561n,bn:01635271n,bn:16020386n;sculpture;3;true;true;0.773;3[o     0.590] INSTANCE_OF(X, bn:00014137n), INSTANCE_OF(X, bn:16781737n), INSTANCE_OF(X, bn:00032645n)
bn:02939198n,bn:00537006n,bn:09790999n;sculpture;3;true;true;0.663;3[o     0.499] INSTANCE_OF(X, bn:00066026n), COUNTRY(X, y_0)
bn:00581110n,bn:00201986n,bn:15739296n;sculpture;3;true;true;0.664;3[o     0.534] INSTANCE_OF(X, bn:00032645n), COUNTRY(X, y_0)
bn:07308573n,bn:00191392n,bn:02868195n;sculpture;3;true;true;0.663;3[o     0.516] INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:14421293n)
bn:03567363n,bn:07307755n,bn:16971803n;sculpture;3;true;true;0.662;3[o     0.545] INSTANCE_OF(X, bn:00032645n)
