UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:02308417n,bn:15300204n;band;2;true;true;0.657;2[o     0.516] INSTANCE_OF(X, bn:00008280n)
bn:00592977n,bn:03480637n;band;2;true;true;0.673;2[o     0.515] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n), GENRE(X, y_0)
bn:13998955n,bn:00876953n;band;2;true;true;0.664;2[o     0.512] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:14290760n,bn:01244458n;band;2;true;true;0.665;2[o     0.517] INSTANCE_OF(X, bn:00008280n)
bn:03558246n,bn:03449228n;band;2;true;true;0.663;2[o     0.500] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:13999772n,bn:00721818n;band;2;true;true;0.666;2[o     0.501] INSTANCE_OF(X, bn:00008280n)
bn:01521373n,bn:03658298n;band;2;true;true;0.664;2[o     0.494] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:03796852n,bn:00786674n;band;2;true;true;0.664;2[o     0.511] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:02587760n,bn:14390766n;band;2;true;true;0.665;2[o     0.511] INSTANCE_OF(X, bn:00008280n)
bn:15173367n,bn:10265734n;band;2;true;true;0.664;2[o     0.499] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:01312597n,bn:03498581n;band;2;true;true;0.654;2[o     0.507] COUNTRY_OF_ORIGIN(X, bn:00003341n), INSTANCE_OF(X, bn:00008280n)
bn:02088578n,bn:00161267n;band;2;true;true;0.77;2[o     0.597] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:00921108n,bn:00929938n;band;2;true;true;0.664;2[o     0.510] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:00633490n,bn:03360755n;band;2;true;true;0.665;2[o     0.503] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
