UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:06706332n,bn:14228700n,bn:10255826n,bn:10252695n,bn:03286379n,bn:20244568n;chemical_element;6;true;true;0.669;6[o     0.491] INSTANCE_OF(X, bn:00011744n), INSTANCE_OF(X, bn:00054550n)
bn:02651071n,bn:03584157n,bn:20244330n,bn:20244680n,bn:06416512n,bn:06469795n;chemical_element;6;true;true;0.779;6[o     0.626] INSTANCE_OF(X, bn:00079109n), INSTANCE_OF(X, bn:00054550n)
bn:15249258n,bn:02550847n,bn:10252956n,bn:20244331n,bn:20245338n,bn:00570215n;chemical_element;6;true;true;0.777;6[o     0.642] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00011744n)
bn:06253857n,bn:20243271n,bn:16954506n,bn:03141226n,bn:01820811n,bn:14044814n;chemical_element;6;true;true;0.778;6[o     0.614] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00079109n)
bn:00018110n,bn:20243183n,bn:20243672n,bn:00015151n,bn:20243624n,bn:17240793n;chemical_element;6;true;true;0.661;6[o     0.579] INSTANCE_OF(X, bn:00018105n), SUBCLASS_OF(X, bn:14781583n), INSTANCE_OF(X, bn:14781583n), SUBCLASS_OF(X, bn:00041942n), INSTANCE_OF(X, bn:00041942n), INSTANCE_OF(X, bn:00079109n)
bn:06257095n,bn:06383876n,bn:03863044n,bn:16258000n,bn:03332892n,bn:20243228n;chemical_element;6;true;true;0.772;6[o     0.664] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00079109n)
bn:20245383n,bn:15980291n,bn:15716805n,bn:04020631n,bn:15539230n,bn:15941183n;chemical_element;6;true;true;0.78;6[o     0.644] INSTANCE_OF(X, bn:00054550n)
bn:01875040n,bn:20245778n,bn:20245023n,bn:06311882n,bn:01351374n,bn:00663922n;chemical_element;6;true;true;0.667;6[o     0.510] INSTANCE_OF(X, bn:00018105n)
bn:03978848n,bn:15296300n,bn:20244722n,bn:20244261n,bn:16387039n,bn:04164824n;chemical_element;6;true;true;0.781;6[o     0.660] INSTANCE_OF(X, bn:00054550n)
bn:00777656n,bn:15117232n,bn:20244878n,bn:01391522n,bn:00309773n,bn:06354843n;chemical_element;6;true;true;0.668;6[o     0.592] INSTANCE_OF(X, bn:00054550n)
bn:04197384n,bn:16210619n,bn:20244496n,bn:06562098n,bn:20244744n,bn:02894361n;chemical_element;6;true;true;0.666;6[o     0.490] INSTANCE_OF(X, bn:00018105n)
bn:18160443n,bn:20243125n,bn:20245073n,bn:15311239n,bn:10254306n,bn:06458617n;chemical_element;6;true;true;0.662;6[o     0.575] INSTANCE_OF(X, bn:00018105n), INSTANCE_OF(X, bn:00079109n)
bn:06360288n,bn:16677373n,bn:20245486n,bn:20244250n,bn:03985626n,bn:20243718n;chemical_element;6;true;true;0.78;6[o     0.609] INSTANCE_OF(X, bn:00018105n)
bn:16370376n,bn:13882914n,bn:20243542n,bn:10264034n,bn:16898532n,bn:16535428n;chemical_element;6;true;true;0.662;6[o     0.581] INSTANCE_OF(X, bn:00079109n), INSTANCE_OF(X, bn:00018105n)
bn:01064861n,bn:01875009n,bn:03936167n,bn:20244480n,bn:16954506n,bn:20245014n;chemical_element;6;true;true;0.776;6[o     0.628] INSTANCE_OF(X, bn:00018105n)
bn:02627329n,bn:20245534n,bn:06706292n,bn:16469707n,bn:03936168n,bn:00156196n;chemical_element;6;true;true;0.666;6[o     0.521] INSTANCE_OF(X, bn:00018105n)
bn:02070538n,bn:00954241n,bn:20243030n,bn:10252919n,bn:00582436n,bn:06352349n;chemical_element;6;true;true;0.764;6[o     0.644] INSTANCE_OF(X, bn:00018105n)
bn:00481834n,bn:20244256n,bn:03672921n,bn:20245482n,bn:06365526n,bn:03977707n;chemical_element;6;true;true;0.779;6[o     0.624] INSTANCE_OF(X, bn:00079109n), INSTANCE_OF(X, bn:00018105n)
bn:17194844n,bn:00217924n,bn:00319119n,bn:00004694n,bn:06329413n,bn:20243157n;chemical_element;6;true;true;0.775;6[o     0.635] INSTANCE_OF(X, bn:00018105n)
