UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:16311436n,bn:16311490n,bn:00644181n,bn:02497678n,bn:17675162n,bn:01509132n;dialect;6;true;true;0.66;6[o     0.505] INSTANCE_OF(X, bn:00000640n)
bn:03461759n,bn:00619875n,bn:16355337n,bn:13546031n,bn:01107797n,bn:01640733n;dialect;6;true;true;0.665;6[o     0.516] INSTANCE_OF(X, bn:00000640n)
bn:01956064n,bn:16752134n,bn:12990863n,bn:01946793n,bn:07082894n,bn:03755530n;dialect;6;true;true;0.671;6[o     0.499] SUBCLASS_OF(X, bn:05016180n), SUBCLASS_OF(X, bn:00056990n), INSTANCE_OF(X, bn:00000640n)
bn:12991288n,bn:08940954n,bn:03697812n,bn:14288662n,bn:12991393n,bn:02914683n;dialect;6;true;true;0.663;6[o     0.495] INSTANCE_OF(X, bn:00000640n)
bn:01345048n,bn:14617850n,bn:17221959n,bn:00868760n,bn:00677253n,bn:00214842n;dialect;6;true;true;0.658;6[o     0.516] INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:05016180n)
bn:13273627n,bn:14483065n,bn:14772740n,bn:01964141n,bn:15195450n,bn:01316715n;dialect;6;true;true;0.663;6[o     0.501] INSTANCE_OF(X, bn:00000640n)
bn:02497772n,bn:02443017n,bn:14503855n,bn:01821049n,bn:15170741n,bn:01873357n;dialect;6;true;true;0.67;6[o     0.515] INSTANCE_OF(X, bn:00000640n)
bn:03891658n,bn:13994760n,bn:15662839n,bn:14983484n,bn:14821515n,bn:13906279n;dialect;6;true;true;0.659;6[o     0.510] INSTANCE_OF(X, bn:00000640n)
bn:02078995n,bn:07076872n,bn:02711386n,bn:03186379n,bn:05654872n,bn:01068287n;dialect;6;true;true;0.667;6[o     0.519] INSTANCE_OF(X, bn:00000640n)
bn:16299054n,bn:06751511n,bn:02212269n,bn:14606038n,bn:03593124n,bn:16890739n;dialect;6;true;true;0.667;6[o     0.512] SUBCLASS_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n), INSTANCE_OF(X, bn:00000640n)
bn:12989654n,bn:17192689n,bn:12991306n,bn:17580165n,bn:02497678n,bn:01388085n;dialect;6;true;true;0.667;6[o     0.496] INSTANCE_OF(X, bn:00000640n)
bn:02442980n,bn:03102476n,bn:03584240n,bn:00355579n,bn:04963575n,bn:03589754n;dialect;6;true;true;0.667;6[o     0.500] INSTANCE_OF(X, bn:00000640n)
bn:01510798n,bn:17458509n,bn:02497772n,bn:04620598n,bn:01912263n,bn:03331599n;dialect;6;true;true;0.668;6[o     0.513] INSTANCE_OF(X, bn:00000640n)
bn:00070894n,bn:01511172n,bn:12410123n,bn:02463523n,bn:00742122n,bn:15939388n;dialect;6;true;true;0.667;6[o     0.514] SUBCLASS_OF(X, bn:05016180n), INSTANCE_OF(X, bn:00000640n)
bn:01859265n,bn:15339513n,bn:16047425n,bn:16387191n,bn:07083430n,bn:13906279n;dialect;6;true;true;0.669;6[o     0.515] INSTANCE_OF(X, bn:00000640n)
