UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:00573880n,bn:01823528n,bn:14173469n,bn:03441746n,bn:00463751n;film;5;true;true;0.663;5[o     0.539] INSTANCE_OF(X, bn:00034471n), INSTANCE_OF(X, bn:00003603n), INSTANCE_OF(X, bn:00064752n), GENRE(X, y_0), CAST_MEMBER(X, y_1)
bn:03003216n,bn:02991421n,bn:02937083n,bn:02600160n,bn:21491222n;film;5;true;true;0.666;5[o     0.548] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:02102952n,bn:15149649n,bn:03337635n,bn:15934143n,bn:15258976n;film;5;true;true;0.663;5[o     0.551] INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), COUNTRY_OF_ORIGIN(X, y_1), ORIGINAL_LANGUAGE_OF_WORK(X, y_2)
bn:03155114n,bn:02657777n,bn:03115118n,bn:16761591n,bn:03598623n;film;5;true;true;0.664;5[o     0.532] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:00605923n,bn:02356080n,bn:03570311n,bn:01792904n,bn:03622324n;film;5;true;true;0.777;5[o     0.645] INSTANCE_OF(X, bn:00034471n)
bn:00296944n,bn:03733320n,bn:15959711n,bn:15117394n,bn:00970752n;film;5;true;true;0.657;5[o     0.542] INSTANCE_OF(X, bn:00034471n), COMPOSER(X, y_0)
bn:21349100n,bn:00336932n,bn:01700707n,bn:02832046n,bn:16059452n;film;5;true;true;0.664;5[o     0.520] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:00997775n,bn:14221682n,bn:10598426n,bn:02334606n,bn:04716372n;film;5;true;true;0.666;5[o     0.530] INSTANCE_OF(X, bn:00034471n)
bn:01727579n,bn:03762932n,bn:03002003n,bn:00616015n,bn:01172916n;film;5;true;true;0.663;5[o     0.532] INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, bn:00030862n), COUNTRY_OF_ORIGIN(X, bn:00003341n), CAST_MEMBER(X, y_0), DIRECTOR(X, y_1), GENRE(X, y_2)
bn:01070482n,bn:16072952n,bn:02645158n,bn:09026881n,bn:00131860n;film;5;true;true;0.664;5[o     0.533] INSTANCE_OF(X, bn:00034471n), CAST_MEMBER(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:02856700n,bn:17066484n,bn:00602758n,bn:00375289n,bn:13054350n;film;5;true;true;0.664;5[o     0.533] INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), SCREENWRITER(X, y_1), COMPOSER(X, y_2), COUNTRY_OF_ORIGIN(X, y_3)
bn:00765366n,bn:17264596n,bn:01892768n,bn:13957246n,bn:02418613n;film;5;true;true;0.664;5[o     0.528] INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), COUNTRY_OF_ORIGIN(X, y_1), ORIGINAL_LANGUAGE_OF_WORK(X, y_2)
bn:17734200n,bn:16848960n,bn:01561830n,bn:14285420n,bn:03126670n;film;5;true;true;0.668;5[o     0.540] INSTANCE_OF(X, bn:00034471n)
bn:02344344n,bn:03890382n,bn:00727317n,bn:09030934n,bn:01226890n;film;5;true;true;0.657;5[o     0.528] INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1), CAST_MEMBER(X, y_2)
bn:03266671n,bn:17728407n,bn:16860622n,bn:01618518n,bn:02848002n;film;5;true;true;0.666;5[o     0.538] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:17632438n,bn:04591561n,bn:00669878n,bn:01822080n,bn:01363424n;film;5;true;true;0.663;5[o     0.522] INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:01742618n,bn:02875455n,bn:17843210n,bn:15025469n,bn:14965071n;film;5;true;true;0.665;5[o     0.521] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:16010960n,bn:16273709n,bn:16653308n,bn:00909312n,bn:16255177n;film;5;true;true;0.668;5[o     0.516] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:15193818n,bn:14334258n,bn:00872199n,bn:03706696n,bn:02656926n;film;5;true;true;0.655;5[o     0.505] INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), DIRECTOR(X, y_1), CAST_MEMBER(X, y_2), COUNTRY_OF_ORIGIN(X, y_3)
bn:01342657n,bn:02956041n,bn:16654233n,bn:00197727n,bn:13971506n;film;5;true;true;0.665;5[o     0.528] INSTANCE_OF(X, bn:00034471n), CAST_MEMBER(X, y_0), DIRECTOR(X, y_1), COUNTRY_OF_ORIGIN(X, y_2)
bn:15089972n,bn:17755111n,bn:02824943n,bn:17454951n,bn:03967507n;film;5;true;true;0.665;5[o     0.528] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:15262461n,bn:02077885n,bn:17978769n,bn:02330649n,bn:17761637n;film;5;true;true;0.658;5[o     0.516] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1)
bn:04845774n,bn:18017503n,bn:13829546n,bn:02082966n,bn:03895040n;film;5;true;true;0.664;5[o     0.537] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:01447392n,bn:02484368n,bn:17830591n,bn:00478025n,bn:01833976n;film;5;true;true;0.664;5[o     0.533] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:00147778n,bn:03360332n,bn:15934569n,bn:02139919n,bn:01424846n;film;5;true;true;0.663;5[o     0.542] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), SCREENWRITER(X, y_1), ORIGINAL_LANGUAGE_OF_WORK(X, y_2), DIRECTOR(X, y_3), GENRE(X, y_4)
bn:00450557n,bn:02565838n,bn:17408473n,bn:03793442n,bn:08972488n;film;5;true;true;0.666;5[o     0.533] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:17420909n,bn:02356166n,bn:15333487n,bn:17412575n,bn:00669961n;film;5;true;true;0.663;5[o     0.523] INSTANCE_OF(X, bn:00034471n)
bn:02847026n,bn:02916814n,bn:01403245n,bn:00641198n,bn:03534553n;film;5;true;true;0.666;5[o     0.531] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), DIRECTOR(X, y_1), CAST_MEMBER(X, y_2)
