UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:01321249n,bn:06731862n,bn:02626110n;university;3;true;true;0.773;3[o     0.610] INSTANCE_OF(X, bn:00079152n)
bn:17337064n,bn:01562376n,bn:03369528n;university;3;true;true;0.67;3[o     0.516] INSTANCE_OF(X, bn:00079152n)
bn:02581525n,bn:02781423n,bn:14269778n;university;3;true;true;0.663;3[o     0.508] INSTANCE_OF(X, bn:00079152n)
bn:03145240n,bn:14271451n,bn:14573863n;university;3;true;true;0.666;3[o     0.521] INSTANCE_OF(X, bn:00079152n)
bn:09355810n,bn:11816330n,bn:01062416n;university;3;true;true;0.665;3[o     0.514] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:01663739n,bn:01442137n,bn:21180998n;university;3;true;true;0.656;3[o     0.508] INSTANCE_OF(X, bn:00079152n)
bn:15792318n,bn:14097208n,bn:01047277n;university;3;true;true;0.664;3[o     0.519] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:03734489n,bn:15528257n,bn:01971731n;university;3;true;true;0.663;3[o     0.504] INSTANCE_OF(X, bn:00079152n)
bn:01907153n,bn:02852057n,bn:01057860n;university;3;true;true;0.665;3[o     0.530] INSTANCE_OF(X, bn:00079152n)
bn:03333387n,bn:01294278n,bn:17815202n;university;3;true;true;0.664;3[o     0.526] INSTANCE_OF(X, bn:00079152n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), COUNTRY(X, y_1)
bn:02002445n,bn:00937499n,bn:02215494n;university;3;true;true;0.669;3[o     0.516] INSTANCE_OF(X, bn:00079152n)
bn:02585296n,bn:15386827n,bn:02139557n;university;3;true;true;0.667;3[o     0.508] INSTANCE_OF(X, bn:00079152n)
bn:01108041n,bn:00182957n,bn:00737712n;university;3;true;true;0.66;3[o     0.516] INSTANCE_OF(X, bn:00079152n)
bn:14435968n,bn:03248381n,bn:03432546n;university;3;true;true;0.666;3[o     0.513] INSTANCE_OF(X, bn:00079152n)
bn:00940609n,bn:16569183n,bn:00294996n;university;3;true;true;0.656;3[o     0.531] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:02814517n,bn:00230247n,bn:02659855n;university;3;true;true;0.665;3[o     0.527] INSTANCE_OF(X, bn:00079152n)
bn:17496253n,bn:17454309n,bn:03746163n;university;3;true;true;0.665;3[o     0.515] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:02053151n,bn:00717636n,bn:15042552n;university;3;true;true;0.664;3[o     0.515] INSTANCE_OF(X, bn:00079152n)
bn:17144831n,bn:03052435n,bn:15940016n;university;3;true;true;0.664;3[o     0.500] INSTANCE_OF(X, bn:00079152n)
bn:06758540n,bn:17815202n,bn:02664879n;university;3;true;true;0.767;3[o     0.603] INSTANCE_OF(X, bn:00079152n)
bn:14355417n,bn:17423845n,bn:00480127n;university;3;true;true;0.657;3[o     0.522] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
