UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:14510195n,bn:00559457n,bn:02587423n,bn:02258892n,bn:01278386n,bn:03395754n;band;6;true;true;0.773;6[o     0.608] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03278491n,bn:03825533n,bn:01327283n,bn:15933774n,bn:00412228n,bn:02431154n;band;6;true;true;0.664;6[o     0.510] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:02170894n,bn:01744122n,bn:01719011n,bn:17693911n,bn:00684409n,bn:03496303n;band;6;true;true;0.666;6[o     0.512] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01805875n,bn:03618094n,bn:01713738n,bn:03871063n,bn:00477219n,bn:02167280n;band;6;true;true;0.775;6[o     0.624] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:00268705n,bn:00304465n,bn:02727425n,bn:01235122n,bn:03671335n,bn:17507285n;band;6;true;true;0.664;6[o     0.512] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02530307n,bn:01574779n,bn:00403789n,bn:01109108n,bn:15921976n,bn:02109244n;band;6;true;true;0.663;6[o     0.519] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03151180n,bn:01914235n,bn:04885071n,bn:16377397n,bn:01899445n,bn:08165594n;band;6;true;true;0.662;6[o     0.506] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:15808415n,bn:16249402n,bn:00467838n,bn:03167465n,bn:00818021n,bn:14123621n;band;6;true;true;0.665;6[o     0.516] INSTANCE_OF(X, bn:00008280n)
bn:20238720n,bn:02423939n,bn:01983249n,bn:00966986n,bn:14599616n,bn:03100508n;band;6;true;true;0.663;6[o     0.503] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:14571048n,bn:10484369n,bn:03928162n,bn:01343524n,bn:03878401n,bn:01871966n;band;6;true;true;0.775;6[o     0.615] INSTANCE_OF(X, bn:00008280n)
bn:02121170n,bn:03396576n,bn:00340839n,bn:00518663n,bn:01240105n,bn:01447487n;band;6;true;true;1.208;6[o     0.961] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n), COUNTRY_OF_ORIGIN(X, y_0)
bn:03821694n,bn:01830298n,bn:03886821n,bn:00559790n,bn:03881493n,bn:02855671n;band;6;true;true;0.664;6[o     0.509] INSTANCE_OF(X, bn:00008280n)
bn:03200744n,bn:03637565n,bn:15171201n,bn:00816073n,bn:17111974n,bn:18504865n;band;6;true;true;0.764;6[o     0.632] INSTANCE_OF(X, bn:00008280n)
bn:18386078n,bn:02518826n,bn:15246502n,bn:03975493n,bn:03632517n,bn:02186557n;band;6;true;true;0.773;6[o     0.586] INSTANCE_OF(X, bn:00008280n)
bn:01206575n,bn:03679046n,bn:03086966n,bn:00698953n,bn:02536671n,bn:02408875n;band;6;true;true;0.666;6[o     0.516] INSTANCE_OF(X, bn:00008280n)
bn:03506238n,bn:14391178n,bn:03483393n,bn:01537963n,bn:00524561n,bn:02422918n;band;6;true;true;0.774;6[o     0.593] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:01335742n,bn:02254647n,bn:00909334n,bn:16131808n,bn:00837586n,bn:03396617n;band;6;true;true;0.664;6[o     0.531] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:01015613n,bn:03757590n,bn:00531660n,bn:01230261n,bn:03892518n,bn:16769954n;band;6;true;true;0.775;6[o     0.634] INSTANCE_OF(X, bn:00008280n)
bn:01784053n,bn:03366167n,bn:02734030n,bn:01936304n,bn:01321234n,bn:15785512n;band;6;true;true;0.77;6[o     0.586] INSTANCE_OF(X, bn:00008280n)
bn:16905464n,bn:03323337n,bn:00833027n,bn:03478268n,bn:00193458n,bn:16682887n;band;6;true;true;0.772;6[o     0.625] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03086366n,bn:00382062n,bn:03483719n,bn:02096017n,bn:00000430n,bn:01321561n;band;6;true;true;0.666;6[o     0.533] INSTANCE_OF(X, bn:00008280n)
bn:02790900n,bn:00606983n,bn:03418166n,bn:08062881n,bn:01865150n,bn:15443439n;band;6;true;true;0.664;6[o     0.539] INSTANCE_OF(X, bn:00008280n)
bn:02677282n,bn:02222303n,bn:00302022n,bn:01491513n,bn:00166445n,bn:08076452n;band;6;true;true;0.664;6[o     0.526] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00802663n,bn:03680308n,bn:14229807n,bn:17588973n,bn:03574691n,bn:00821711n;band;6;true;true;0.665;6[o     0.539] INSTANCE_OF(X, bn:00008280n)
bn:08656861n,bn:14830490n,bn:01227806n,bn:01574060n,bn:03805353n,bn:16136477n;band;6;true;true;0.664;6[o     0.522] INSTANCE_OF(X, bn:00008280n)
bn:02495048n,bn:01602993n,bn:01033551n,bn:01643050n,bn:00658509n,bn:01319591n;band;6;true;true;0.662;6[o     0.539] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02421168n,bn:01920363n,bn:03648799n,bn:01711296n,bn:02110672n,bn:01810435n;band;6;true;true;0.666;6[o     0.512] INSTANCE_OF(X, bn:00008280n)
bn:02618005n,bn:00138559n,bn:17432303n,bn:15558305n,bn:01512139n,bn:02296872n;band;6;true;true;0.776;6[o     0.603] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:02247157n,bn:00706118n,bn:10425722n,bn:03046374n,bn:16791259n,bn:03511239n;band;6;true;true;0.664;6[o     0.505] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00145679n,bn:02056324n,bn:01347943n,bn:02110774n,bn:15084308n,bn:00216013n;band;6;true;true;0.664;6[o     0.515] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00728062n,bn:03031832n,bn:15354485n,bn:03355728n,bn:01695985n,bn:01576661n;band;6;true;true;1.204;6[o     1.115] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:13801362n,bn:02016338n,bn:01067213n,bn:01024718n,bn:02015523n,bn:01478737n;band;6;true;true;0.664;6[o     0.523] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:00525200n,bn:03749124n,bn:03543226n,bn:02518455n,bn:02863934n,bn:00930084n;band;6;true;true;0.665;6[o     0.508] INSTANCE_OF(X, bn:00008280n)
bn:01376016n,bn:16027245n,bn:00503251n,bn:00315623n,bn:05786723n,bn:01091769n;band;6;true;true;0.668;6[o     0.567] INSTANCE_OF(X, bn:00008280n)
bn:03839497n,bn:03289236n,bn:21689065n,bn:15362560n,bn:00907295n,bn:14407017n;band;6;true;true;0.664;6[o     0.518] INSTANCE_OF(X, bn:00008280n)
bn:00217707n,bn:02519021n,bn:01003490n,bn:03201359n,bn:03175868n,bn:02624972n;band;6;true;true;0.665;6[o     0.529] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01301904n,bn:17421812n,bn:16375476n,bn:17275548n,bn:03742193n,bn:01924035n;band;6;true;true;0.776;6[o     0.608] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
