UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:16671738n,bn:15687080n,bn:01079189n;championship;3;true;true;0.66;3[o     0.583] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:16511218n,bn:01033356n,bn:00183259n;championship;3;true;true;0.659;3[o     0.503] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:14815182n,bn:02008377n,bn:04810599n;championship;3;true;true;0.769;3[o     0.597] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:01205048n,bn:14183079n,bn:04739413n;championship;3;true;true;0.779;3[o     0.595] INSTANCE_OF(X, bn:00017615n)
bn:04297276n,bn:02883759n,bn:02957811n;championship;3;true;true;0.661;3[o     0.504] INSTANCE_OF(X, bn:00469456n)
bn:01136091n,bn:17224343n,bn:03550542n;championship;3;true;true;0.66;3[o     0.504] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:04519908n,bn:01107610n,bn:14445031n;championship;3;true;true;0.764;3[o     0.591] INSTANCE_OF(X, bn:00017615n)
bn:03495854n,bn:02264198n,bn:18118579n;championship;3;true;true;0.665;3[o     0.503] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:14055964n,bn:00607862n,bn:03346709n;championship;3;true;true;0.662;3[o     0.519] INSTANCE_OF(X, bn:00017615n)
bn:17236494n,bn:14051909n,bn:02884061n;championship;3;true;true;0.775;3[o     0.592] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:02117328n,bn:04250196n,bn:14476133n;championship;3;true;true;0.663;3[o     0.503] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:01033353n,bn:17932740n,bn:04297625n;championship;3;true;true;0.662;3[o     0.505] INSTANCE_OF(X, bn:00017615n), FOLLOWED_BY(X, y_0), FOLLOWS(X, y_1), SPORT(X, y_2)
bn:17829689n,bn:14356521n,bn:01136060n;championship;3;true;true;0.77;3[o     0.586] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:04738651n,bn:01018414n,bn:15136864n;championship;3;true;true;0.768;3[o     0.597] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:01794270n,bn:14810565n,bn:02973386n;championship;3;true;true;0.762;3[o     0.589] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
