UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:20244690n,bn:10485001n,bn:20242915n;chemical_element;3;true;true;0.664;3[o     0.490] INSTANCE_OF(X, bn:00018105n), INSTANCE_OF(X, bn:00047677n), SUBCLASS_OF(X, bn:00018105n)
bn:20243657n,bn:20244301n,bn:02643979n;chemical_element;3;true;true;0.669;3[o     0.494] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00011744n)
bn:16688849n,bn:18160447n,bn:20243658n;chemical_element;3;true;true;0.67;3[o     0.506] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00011744n)
bn:10253315n,bn:15586473n,bn:03787989n;chemical_element;3;true;true;0.776;3[o     0.597] INSTANCE_OF(X, bn:00011744n), INSTANCE_OF(X, bn:00054550n)
bn:03702142n,bn:20245526n,bn:06379045n;chemical_element;3;true;true;0.663;3[o     0.560] INSTANCE_OF(X, bn:00079109n), INSTANCE_OF(X, bn:00018105n)
bn:06440659n,bn:10256153n,bn:06397377n;chemical_element;3;true;true;0.666;3[o     0.555] INSTANCE_OF(X, bn:00079109n), INSTANCE_OF(X, bn:00054550n)
bn:00006910n,bn:06562232n,bn:04204476n;chemical_element;3;true;true;0.665;3[o     0.503] INSTANCE_OF(X, bn:00018105n)
bn:06390543n,bn:06563878n,bn:06276437n;chemical_element;3;true;true;0.66;3[o     0.582] INSTANCE_OF(X, bn:00079109n), INSTANCE_OF(X, bn:00054550n)
bn:20245487n,bn:20244606n,bn:20244764n;chemical_element;3;true;true;0.663;3[o     0.484] INSTANCE_OF(X, bn:00018105n), INSTANCE_OF(X, bn:00047677n), SUBCLASS_OF(X, bn:00018105n)
bn:00026679n,bn:04297829n,bn:20244446n;chemical_element;3;true;true;0.77;3[o     0.585] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00011744n)
bn:04044050n,bn:10252971n,bn:06037423n;chemical_element;3;true;true;0.777;3[o     0.596] INSTANCE_OF(X, bn:00010851n), INSTANCE_OF(X, bn:15125301n), INSTANCE_OF(X, bn:00022154n), INSTANCE_OF(X, bn:00070574n), INSTANCE_OF(X, bn:00018105n)
bn:20243344n,bn:10254280n,bn:01706848n;chemical_element;3;true;true;0.775;3[o     0.594] INSTANCE_OF(X, bn:00018105n), INSTANCE_OF(X, bn:00011744n)
bn:20243044n,bn:06245499n,bn:04266196n;chemical_element;3;true;true;0.663;3[o     0.556] INSTANCE_OF(X, bn:00079109n), INSTANCE_OF(X, bn:01227930n)
bn:20244660n,bn:02479669n,bn:20243037n;chemical_element;3;true;true;0.763;3[o     0.581] INSTANCE_OF(X, bn:00018105n), INSTANCE_OF(X, bn:00011744n)
bn:06465094n,bn:20243353n,bn:10173080n;chemical_element;3;true;true;0.66;3[o     0.568] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00079109n)
bn:10485001n,bn:18160452n,bn:03126876n;chemical_element;3;true;true;0.661;3[o     0.546] INSTANCE_OF(X, bn:00011744n), INSTANCE_OF(X, bn:00054550n)
bn:20243697n,bn:02321831n,bn:10460933n;chemical_element;3;true;true;0.664;3[o     0.501] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00011744n)
bn:02074362n,bn:06706415n,bn:01458169n;chemical_element;3;true;true;0.659;3[o     0.580] INSTANCE_OF(X, bn:00018105n)
bn:10252925n,bn:03968530n,bn:15192619n;chemical_element;3;true;true;0.66;3[o     0.579] INSTANCE_OF(X, bn:00079109n), INSTANCE_OF(X, bn:00054550n)
