UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:00590551n,bn:02163979n;company;2;true;true;0.665;2[o     0.540] INSTANCE_OF(X, bn:00014137n)
bn:03355540n,bn:00572009n;company;2;true;true;0.664;2[o     0.529] INSTANCE_OF(X, bn:00014137n), HEADQUARTERS_LOCATION(X, y_0)
bn:01176188n,bn:03349734n;company;2;true;true;0.665;2[o     0.521] INSTANCE_OF(X, bn:00014137n)
bn:00301685n,bn:03509839n;company;2;true;true;0.663;2[o     0.556] INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00041944n), INSTANCE_OF(X, bn:00021248n)
bn:03382140n,bn:03830231n;company;2;true;true;0.67;2[o     0.535] INSTANCE_OF(X, bn:00014137n)
bn:00607940n,bn:02180837n;company;2;true;true;0.666;2[o     0.533] INSTANCE_OF(X, bn:00014137n), HEADQUARTERS_LOCATION(X, y_0)
bn:00772120n,bn:03620933n;company;2;true;true;0.666;2[o     0.525] INSTANCE_OF(X, bn:00014137n)
bn:01142184n,bn:01046278n;company;2;true;true;0.777;2[o     0.613] INSTANCE_OF(X, bn:00014137n)
bn:14728681n,bn:02830798n;company;2;true;true;0.664;2[o     0.533] INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:16781737n)
bn:03682090n,bn:00265071n;company;2;true;true;0.664;2[o     0.538] INSTANCE_OF(X, bn:00014137n), INDUSTRY(X, y_0), COUNTRY(X, y_1)
bn:00798348n,bn:15935403n;company;2;true;true;0.67;2[o     0.535] INSTANCE_OF(X, bn:00014137n)
bn:00122001n,bn:03376603n;company;2;true;true;0.663;2[o     0.544] INSTANCE_OF(X, bn:00041944n), INSTANCE_OF(X, bn:00023653n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00021286n)
bn:01051095n,bn:16354380n;company;2;true;true;0.664;2[o     0.531] INSTANCE_OF(X, bn:00014137n)
bn:03810828n,bn:15329445n;company;2;true;true;0.663;2[o     0.557] INSTANCE_OF(X, bn:00014137n), HEADQUARTERS_LOCATION(X, y_0)
bn:15400887n,bn:01771064n;company;2;true;true;0.661;2[o     0.566] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00022071n), INSTANCE_OF(X, bn:00014137n)
bn:00192512n,bn:08150856n;company;2;true;true;0.665;2[o     0.542] INSTANCE_OF(X, bn:00014137n)
bn:00146535n,bn:16640679n;company;2;true;true;0.664;2[o     0.559] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00022071n), INSTANCE_OF(X, bn:00041944n), INSTANCE_OF(X, bn:00040161n), INSTANCE_OF(X, bn:00021248n), COUNTRY(X, y_0)
bn:17745867n,bn:01301114n;company;2;true;true;0.663;2[o     0.546] INSTANCE_OF(X, bn:00023653n), INSTANCE_OF(X, bn:00014137n)
bn:01207598n,bn:04075024n;company;2;true;true;0.662;2[o     0.564] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00041944n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), COUNTRY(X, y_1)
bn:03996809n,bn:03365088n;company;2;true;true;0.777;2[o     0.632] INSTANCE_OF(X, bn:00081581n), INSTANCE_OF(X, bn:00014137n)
bn:17446618n,bn:01049025n;company;2;true;true;0.668;2[o     0.521] INSTANCE_OF(X, bn:16558730n)
bn:00615465n,bn:03878962n;company;2;true;true;0.658;2[o     0.574] INSTANCE_OF(X, bn:15093012n), COUNTRY(X, bn:00003341n), LICENSED_TO_BROADCAST_TO(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:17109767n,bn:02824597n;company;2;true;true;0.663;2[o     0.539] INSTANCE_OF(X, bn:00014137n)
bn:00225416n,bn:00328739n;company;2;true;true;0.663;2[o     0.560] INSTANCE_OF(X, bn:00041944n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00014160n)
bn:03849915n,bn:00979557n;company;2;true;true;0.664;2[o     0.554] INSTANCE_OF(X, bn:00064755n), INSTANCE_OF(X, bn:00009815n), INSTANCE_OF(X, bn:00014137n), COUNTRY(X, bn:00003341n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0)
bn:14042635n,bn:00249007n;company;2;true;true;0.66;2[o     0.584] INSTANCE_OF(X, bn:00014137n)
bn:00160649n,bn:01224095n;company;2;true;true;0.663;2[o     0.546] INSTANCE_OF(X, bn:00014137n), HEADQUARTERS_LOCATION(X, y_0)
bn:00488157n,bn:07792937n;company;2;true;true;0.665;2[o     0.558] INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00041944n)
