UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:05437753n,bn:03815366n,bn:16357258n;film;3;true;true;0.671;3[o     0.488] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), DIRECTOR(X, y_1), ORIGINAL_LANGUAGE_OF_WORK(X, y_2)
bn:00627905n,bn:17753938n,bn:02327745n;film;3;true;true;0.664;3[o     0.519] INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), COUNTRY_OF_ORIGIN(X, y_2)
bn:08139657n,bn:16905935n,bn:01213605n;film;3;true;true;0.665;3[o     0.514] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), DIRECTOR(X, y_1)
bn:01210913n,bn:01623943n,bn:03798244n;film;3;true;true;0.666;3[o     0.502] INSTANCE_OF(X, bn:00034471n), CAST_MEMBER(X, y_0), DIRECTOR(X, y_1), COUNTRY_OF_ORIGIN(X, y_2), GENRE(X, y_3), ORIGINAL_LANGUAGE_OF_WORK(X, y_4)
bn:00727340n,bn:16932854n,bn:02395927n;film;3;true;true;0.669;3[o     0.538] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), DIRECTOR(X, y_1), ORIGINAL_LANGUAGE_OF_WORK(X, y_2)
bn:17494050n,bn:02778316n,bn:03595821n;film;3;true;true;0.664;3[o     0.547] INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:14930349n,bn:02924060n,bn:03544395n;film;3;true;true;0.665;3[o     0.490] INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:14344373n,bn:14026515n,bn:03878276n;film;3;true;true;0.664;3[o     0.519] INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1), CAST_MEMBER(X, y_2), DIRECTOR(X, y_3)
bn:03872715n,bn:03010863n,bn:15933398n;film;3;true;true;0.663;3[o     0.557] INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), COUNTRY_OF_ORIGIN(X, y_2)
bn:15518659n,bn:15480930n,bn:02403212n;film;3;true;true;0.666;3[o     0.529] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), CAST_MEMBER(X, y_2), GENRE(X, y_3)
bn:02953143n,bn:00728992n,bn:01055292n;film;3;true;true;0.667;3[o     0.553] INSTANCE_OF(X, bn:00034471n), INSTANCE_OF(X, bn:00003603n), INSTANCE_OF(X, bn:00064752n), GENRE(X, y_0), INSTANCE_OF(X, y_0), SCREENWRITER(X, y_1), DIRECTOR(X, y_2), COUNTRY_OF_ORIGIN(X, y_3), CAST_MEMBER(X, y_4), PRODUCTION_COMPANY(X, y_5)
bn:15433674n,bn:21609619n,bn:02420750n;film;3;true;true;0.664;3[o     0.517] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), DIRECTOR(X, y_2)
bn:01012841n,bn:02312167n,bn:03866154n;film;3;true;true;0.667;3[o     0.508] INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), CAST_MEMBER(X, y_1), GENRE(X, y_2), DIRECTOR(X, y_3), COUNTRY_OF_ORIGIN(X, y_4)
bn:02004662n,bn:03600509n,bn:03624282n;film;3;true;true;0.663;3[o     0.526] INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1), CAST_MEMBER(X, y_2), GENRE(X, y_3)
bn:15050134n,bn:16464089n,bn:03842894n;film;3;true;true;0.666;3[o     0.492] INSTANCE_OF(X, bn:00034471n), GENRE(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), COUNTRY_OF_ORIGIN(X, y_2)
bn:21600970n,bn:02584423n,bn:01295205n;film;3;true;true;0.665;3[o     0.508] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:01573431n,bn:00425988n,bn:01822042n;film;3;true;true;0.666;3[o     0.515] INSTANCE_OF(X, bn:00034471n)
bn:03274803n,bn:03191349n,bn:01449607n;film;3;true;true;0.669;3[o     0.551] INSTANCE_OF(X, bn:00034471n), COMPOSER(X, y_0), GENRE(X, y_1), COUNTRY_OF_ORIGIN(X, y_2), DIRECTOR(X, y_3), CAST_MEMBER(X, y_4), ORIGINAL_LANGUAGE_OF_WORK(X, y_5)
