UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:01579286n,bn:08504321n,bn:05776155n,bn:02832820n;scientist;4;true;true;0.776;4[o     0.620] INSTANCE_OF(X, bn:00069680n)
bn:08577292n,bn:03370418n,bn:02683563n,bn:01960646n;scientist;4;true;true;0.873;4[o     0.706] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00069680n)
bn:02714984n,bn:03701217n,bn:02857194n,bn:02431870n;scientist;4;true;true;0.77;4[o     0.678] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00069680n), OCCUPATION(X, y_0), PLACE_OF_BIRTH(X, y_1)
bn:02529504n,bn:16073846n,bn:03014395n,bn:02654912n;scientist;4;true;true;0.886;4[o     0.725] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), COUNTRY_OF_CITIZENSHIP(X, y_0), OCCUPATION(X, y_1), INSTANCE_OF(X, y_1), PLACE_OF_BIRTH(X, y_2), GIVEN_NAME(X, y_3)
bn:04825551n,bn:03875015n,bn:02429537n,bn:00706600n;scientist;4;true;true;0.776;4[o     0.626] INSTANCE_OF(X, bn:00069680n)
bn:01402074n,bn:02930130n,bn:03309588n,bn:02601653n;scientist;4;true;true;0.774;4[o     0.604] INSTANCE_OF(X, bn:00069680n)
bn:02636242n,bn:05379837n,bn:03156386n,bn:03633278n;scientist;4;true;true;0.773;4[o     0.675] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), OCCUPATION(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:00122314n,bn:03367985n,bn:02814259n,bn:03195320n;scientist;4;true;true;0.776;4[o     0.630] INSTANCE_OF(X, bn:00069680n)
bn:15802528n,bn:00700208n,bn:03096694n,bn:02526660n;scientist;4;true;true;0.886;4[o     0.712] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00069680n), OCCUPATION(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:01740249n,bn:03438024n,bn:01280183n,bn:01242198n;scientist;4;true;true;0.775;4[o     0.654] INSTANCE_OF(X, bn:00069680n)
bn:01748657n,bn:01472562n,bn:02973566n,bn:00429843n;scientist;4;true;true;0.771;4[o     0.692] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00069680n), GIVEN_NAME(X, y_0), PLACE_OF_BIRTH(X, y_1), OCCUPATION(X, y_2), INSTANCE_OF(X, y_2)
bn:00853838n,bn:05445597n,bn:02882777n,bn:00952229n;scientist;4;true;true;0.769;4[o     0.685] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00069680n)
bn:01204700n,bn:01616031n,bn:04108751n,bn:00668974n;scientist;4;true;true;0.774;4[o     0.666] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), OCCUPATION(X, y_0), INSTANCE_OF(X, y_0)
bn:02050436n,bn:05403000n,bn:01761911n,bn:03619169n;scientist;4;true;true;0.775;4[o     0.657] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), PLACE_OF_BIRTH(X, y_0), OCCUPATION(X, y_1), INSTANCE_OF(X, y_1), COUNTRY_OF_CITIZENSHIP(X, y_2), PLACE_OF_DEATH(X, y_3)
bn:01990015n,bn:02598632n,bn:03412690n,bn:01621522n;scientist;4;true;true;0.775;4[o     0.668] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), GIVEN_NAME(X, y_0), OCCUPATION(X, y_1), COUNTRY_OF_CITIZENSHIP(X, y_2)
bn:15246195n,bn:03833226n,bn:03584945n,bn:03044804n;scientist;4;true;true;0.774;4[o     0.639] INSTANCE_OF(X, bn:00069680n)
bn:01741063n,bn:03349109n,bn:02404146n,bn:01413837n;scientist;4;true;true;0.777;4[o     0.608] INSTANCE_OF(X, bn:00069680n)
bn:03739271n,bn:08489638n,bn:00298297n,bn:03197314n;scientist;4;true;true;0.775;4[o     0.632] INSTANCE_OF(X, bn:00069680n)
bn:03473563n,bn:01087849n,bn:03664028n,bn:04918993n;scientist;4;true;true;0.771;4[o     0.691] INSTANCE_OF(X, bn:00069680n), INSTANCE_OF(X, bn:00044576n), COUNTRY_OF_CITIZENSHIP(X, y_0), GIVEN_NAME(X, y_1)
bn:05445805n,bn:03435341n,bn:05429615n,bn:00576244n;scientist;4;true;true;0.78;4[o     0.649] INSTANCE_OF(X, bn:00069680n)
bn:17253452n,bn:01317715n,bn:06508772n,bn:00952575n;scientist;4;true;true;0.775;4[o     0.659] INSTANCE_OF(X, bn:00044576n), INSTANCE_OF(X, bn:00069680n), OCCUPATION(X, y_0), INSTANCE_OF(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
