UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:01661174n,bn:01660846n,bn:03225609n,bn:00523119n,bn:17197883n;university;5;true;true;0.665;5[o     0.514] INSTANCE_OF(X, bn:00079152n)
bn:01941824n,bn:00353688n,bn:01058381n,bn:04137915n,bn:00445514n;university;5;true;true;0.664;5[o     0.510] INSTANCE_OF(X, bn:00079152n)
bn:14055987n,bn:00601539n,bn:01309050n,bn:15684091n,bn:07029740n;university;5;true;true;0.666;5[o     0.509] INSTANCE_OF(X, bn:00079152n)
bn:02156756n,bn:03502312n,bn:01102364n,bn:01850110n,bn:03652251n;university;5;true;true;0.66;5[o     0.516] INSTANCE_OF(X, bn:00079152n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0)
bn:09324471n,bn:01859708n,bn:04641096n,bn:03272322n,bn:16641828n;university;5;true;true;0.662;5[o     0.512] INSTANCE_OF(X, bn:00079152n)
bn:03502312n,bn:00637772n,bn:14868124n,bn:01365962n,bn:00795385n;university;5;true;true;0.664;5[o     0.530] INSTANCE_OF(X, bn:00079152n)
bn:03406767n,bn:01566877n,bn:20075342n,bn:09285338n,bn:03720365n;university;5;true;true;0.666;5[o     0.515] INSTANCE_OF(X, bn:00079152n)
bn:16220709n,bn:02400803n,bn:14762893n,bn:16689909n,bn:03639650n;university;5;true;true;0.664;5[o     0.516] INSTANCE_OF(X, bn:00079152n)
bn:06485646n,bn:17077047n,bn:17330764n,bn:03178809n,bn:15928364n;university;5;true;true;0.773;5[o     0.599] INSTANCE_OF(X, bn:00079152n)
bn:03384597n,bn:15531489n,bn:02468054n,bn:01493881n,bn:01668267n;university;5;true;true;0.666;5[o     0.510] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:01585653n,bn:01353399n,bn:05940289n,bn:01087296n,bn:03017737n;university;5;true;true;0.664;5[o     0.520] INSTANCE_OF(X, bn:00079152n)
bn:02526344n,bn:12145804n,bn:14430177n,bn:03273758n,bn:13841237n;university;5;true;true;0.659;5[o     0.514] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:03249124n,bn:16104415n,bn:14843435n,bn:02512897n,bn:00672991n;university;5;true;true;0.666;5[o     0.513] INSTANCE_OF(X, bn:00079152n)
bn:02312235n,bn:03634518n,bn:02047193n,bn:00465066n,bn:16890639n;university;5;true;true;0.665;5[o     0.519] INSTANCE_OF(X, bn:00079152n)
bn:14568012n,bn:02543823n,bn:13981130n,bn:02315829n,bn:00254018n;university;5;true;true;0.666;5[o     0.544] INSTANCE_OF(X, bn:00079152n)
bn:03895955n,bn:03594965n,bn:02834867n,bn:00326891n,bn:17508165n;university;5;true;true;0.664;5[o     0.524] INSTANCE_OF(X, bn:00079152n)
bn:00944025n,bn:15541463n,bn:16771867n,bn:03024314n,bn:02785883n;university;5;true;true;0.665;5[o     0.517] INSTANCE_OF(X, bn:00079152n)
bn:01559136n,bn:03277297n,bn:01580058n,bn:01483569n,bn:00981695n;university;5;true;true;0.663;5[o     0.522] INSTANCE_OF(X, bn:00079152n)
bn:08051434n,bn:09300358n,bn:01483642n,bn:01413720n,bn:03411404n;university;5;true;true;0.665;5[o     0.516] INSTANCE_OF(X, bn:00079152n)
bn:02660115n,bn:19457054n,bn:01508144n,bn:01208532n,bn:16735029n;university;5;true;true;0.664;5[o     0.502] INSTANCE_OF(X, bn:00079152n)
bn:03229671n,bn:02492217n,bn:15984678n,bn:02237513n,bn:13845082n;university;5;true;true;0.666;5[o     0.513] INSTANCE_OF(X, bn:00079152n)
bn:03243220n,bn:08355355n,bn:02295484n,bn:03759711n,bn:02844583n;university;5;true;true;0.664;5[o     0.539] INSTANCE_OF(X, bn:00079152n)
bn:16176879n,bn:14270383n,bn:00519424n,bn:02819100n,bn:00316647n;university;5;true;true;0.665;5[o     0.530] INSTANCE_OF(X, bn:00079152n), COUNTRY(X, y_0)
bn:15360080n,bn:00548231n,bn:00870753n,bn:00653729n,bn:00696435n;university;5;true;true;0.665;5[o     0.512] INSTANCE_OF(X, bn:00079152n)
bn:00941848n,bn:03743714n,bn:00924879n,bn:03297956n,bn:00251888n;university;5;true;true;0.658;5[o     0.553] INSTANCE_OF(X, bn:00079152n)
bn:14358800n,bn:03277111n,bn:09293242n,bn:00126348n,bn:03092838n;university;5;true;true;0.653;5[o     0.522] INSTANCE_OF(X, bn:00079152n)
