UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:16000014n,bn:00484480n;vehicle;2;true;true;0.657;2[o     0.479] INSTANCE_OF(X, bn:00071103n)
bn:00706350n,bn:14329700n;vehicle;2;true;true;0.664;2[o     0.500] INSTANCE_OF(X, bn:00020866n)
bn:15997833n,bn:01051178n;vehicle;2;true;true;0.663;2[o     0.533] INSTANCE_OF(X, bn:00079675n)
bn:03883322n,bn:01448242n;vehicle;2;true;true;0.664;2[o     0.491] INSTANCE_OF(X, bn:00071103n), OPERATOR(X, y_0)
bn:03009271n,bn:00563712n;vehicle;2;true;true;0.666;2[o     0.512] INSTANCE_OF(X, bn:00071103n), OPERATOR(X, y_0)
bn:02912224n,bn:01699247n;vehicle;2;true;true;0.665;2[o     0.527] INSTANCE_OF(X, bn:00071103n)
bn:14723034n,bn:02329659n;vehicle;2;true;true;0.663;2[o     0.584] INSTANCE_OF(X, bn:00079675n)
bn:00656693n,bn:01700595n;vehicle;2;true;true;0.665;2[o     0.500] INSTANCE_OF(X, bn:00071103n)
bn:00323676n,bn:03233275n;vehicle;2;true;true;0.665;2[o     0.536] INSTANCE_OF(X, bn:00079675n), INSTANCE_OF(X, bn:00001077n)
bn:01820132n,bn:00981190n;vehicle;2;true;true;0.777;2[o     0.617] INSTANCE_OF(X, bn:00047354n), INSTANCE_OF(X, bn:00081568n), INSTANCE_OF(X, bn:00069670n), INSTANCE_OF(X, bn:00025333n), INSTANCE_OF(X, bn:00079675n), INSTANCE_OF(X, bn:00006195n), INSTANCE_OF(X, bn:00058141n), INSTANCE_OF(X, bn:00053825n), INSTANCE_OF(X, bn:00007985n), INSTANCE_OF(X, bn:00021221n), INSTANCE_OF(X, bn:00081714n), INSTANCE_OF(X, bn:15731443n), INSTANCE_OF(X, bn:00028142n), INSTANCE_OF(X, bn:00001172n), INSTANCE_OF(X, bn:00023140n), INSTANCE_OF(X, bn:00001077n), INSTANCE_OF(X, bn:00061984n)
bn:00758878n,bn:01437569n;vehicle;2;true;true;0.662;2[o     0.492] INSTANCE_OF(X, bn:00079675n)
bn:03088190n,bn:01038664n;vehicle;2;true;true;0.663;2[o     0.492] INSTANCE_OF(X, bn:00079675n), INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:02437884n)
bn:00806034n,bn:03884545n;vehicle;2;true;true;0.663;2[o     0.498] INSTANCE_OF(X, bn:00079675n)
bn:01996220n,bn:02485730n;vehicle;2;true;true;0.665;2[o     0.489] INSTANCE_OF(X, bn:00071103n), OPERATOR(X, bn:00057082n)
bn:17444273n,bn:00488566n;vehicle;2;true;true;0.663;2[o     0.486] INSTANCE_OF(X, bn:00079675n), INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:15125301n)
bn:03006053n,bn:16248298n;vehicle;2;true;true;0.549;2[o     0.471] INSTANCE_OF(X, bn:00079675n)
bn:03455000n,bn:16545218n;vehicle;2;true;true;0.665;2[o     0.529] INSTANCE_OF(X, bn:16518640n), INSTANCE_OF(X, bn:00023497n), INSTANCE_OF(X, bn:00054990n)
bn:14629812n,bn:02580310n;vehicle;2;true;true;0.666;2[o     0.492] INSTANCE_OF(X, bn:00071103n), OPERATOR(X, y_0)
bn:16652800n,bn:00554795n;vehicle;2;true;true;0.666;2[o     0.503] INSTANCE_OF(X, bn:00007309n), MANUFACTURER(X, y_0)
bn:06314416n,bn:05115548n;vehicle;2;true;true;0.663;2[o     0.544] INSTANCE_OF(X, bn:00020866n), OPERATOR(X, y_0)
bn:00166071n,bn:01522266n;vehicle;2;true;true;0.664;2[o     0.501] INSTANCE_OF(X, bn:00079675n)
