UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:02103224n,bn:15889262n,bn:01128032n;video_game;3;true;true;0.665;3[o     0.525] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1), PUBLISHER(X, y_2)
bn:10805405n,bn:01039013n,bn:03404207n;video_game;3;true;true;0.664;3[o     0.515] INSTANCE_OF(X, bn:00021477n)
bn:02928106n,bn:02859468n,bn:03724629n;video_game;3;true;true;0.663;3[o     0.546] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), DISTRIBUTION(X, y_0), GENRE(X, y_1), PLATFORM(X, y_2)
bn:02681120n,bn:13810355n,bn:01554043n;video_game;3;true;true;0.663;3[o     0.545] INSTANCE_OF(X, bn:00021477n), PUBLISHER(X, y_0), GENRE(X, y_1), DEVELOPER(X, y_2)
bn:01480883n,bn:00667624n,bn:00350692n;video_game;3;true;true;0.668;3[o     0.512] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:01658623n,bn:01305790n,bn:03781227n;video_game;3;true;true;0.664;3[o     0.540] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), INPUT_DEVICE(X, y_0), PLATFORM(X, y_1), GENRE(X, y_2)
bn:15688307n,bn:01758827n,bn:03072592n;video_game;3;true;true;0.666;3[o     0.541] INSTANCE_OF(X, bn:00021477n)
bn:01070452n,bn:14731257n,bn:02110044n;video_game;3;true;true;0.664;3[o     0.517] GAME_MODE(X, bn:02858895n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1), DEVELOPER(X, y_2)
bn:00774042n,bn:03570949n,bn:02665292n;video_game;3;true;true;0.663;3[o     0.527] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0), PLATFORM(X, y_1), DEVELOPER(X, y_2)
bn:03668123n,bn:03226688n,bn:03364338n;video_game;3;true;true;0.664;3[o     0.535] INSTANCE_OF(X, bn:00021477n), PUBLISHER(X, y_0), PLATFORM(X, y_1), DEVELOPER(X, y_2)
bn:01969493n,bn:17682907n,bn:03376423n;video_game;3;true;true;0.665;3[o     0.511] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:01032873n,bn:04925202n,bn:03339987n;video_game;3;true;true;0.653;3[o     0.531] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, y_0), PUBLISHER(X, y_1), GENRE(X, y_2)
bn:00845973n,bn:01965847n,bn:02309834n;video_game;3;true;true;0.664;3[o     0.546] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), PUBLISHER(X, y_1), DEVELOPER(X, y_2), GENRE(X, y_3)
bn:01538273n,bn:02354979n,bn:03442820n;video_game;3;true;true;0.668;3[o     0.533] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:03499681n,bn:02729606n,bn:01312972n;video_game;3;true;true;0.664;3[o     0.516] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PUBLISHER(X, y_0), PLATFORM(X, y_1), DISTRIBUTION(X, y_2)
bn:03541211n,bn:01785355n,bn:02926977n;video_game;3;true;true;0.665;3[o     0.524] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:01527098n,bn:17465972n,bn:01429460n;video_game;3;true;true;0.666;3[o     0.518] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0), GENRE(X, y_1), DEVELOPER(X, y_2)
bn:03298793n,bn:02605703n,bn:21316472n;video_game;3;true;true;0.664;3[o     0.512] INSTANCE_OF(X, bn:00021477n)
bn:00730887n,bn:03282193n,bn:01747100n;video_game;3;true;true;0.665;3[o     0.517] INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0), PLATFORM(X, y_1)
bn:00540400n,bn:01103783n,bn:03260949n;video_game;3;true;true;0.664;3[o     0.513] INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0)
bn:03882160n,bn:00533466n,bn:17431284n;video_game;3;true;true;0.664;3[o     0.555] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, bn:00081305n)
bn:03229088n,bn:00798614n,bn:01313986n;video_game;3;true;true;0.665;3[o     0.518] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PUBLISHER(X, y_0), GENRE(X, y_1), PLATFORM(X, y_2)
bn:03128687n,bn:00319900n,bn:13830398n;video_game;3;true;true;0.664;3[o     0.521] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:03549509n,bn:01296793n,bn:17706435n;video_game;3;true;true;0.665;3[o     0.526] INSTANCE_OF(X, bn:00021477n), DEVELOPER(X, y_0)
bn:02576085n,bn:16979793n,bn:00405132n;video_game;3;true;true;0.664;3[o     0.533] INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0), GAME_MODE(X, y_1), DEVELOPER(X, y_2)
bn:01631281n,bn:02132936n,bn:00170009n;video_game;3;true;true;0.665;3[o     0.514] INSTANCE_OF(X, bn:00021477n), DEVELOPER(X, y_0), GAME_MODE(X, y_1), GENRE(X, y_2), PLATFORM(X, y_3)
bn:03808963n,bn:00896340n,bn:15056656n;video_game;3;true;true;0.666;3[o     0.548] INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0)
bn:21660967n,bn:01370742n,bn:02755211n;video_game;3;true;true;0.666;3[o     0.516] INSTANCE_OF(X, bn:00021477n), DEVELOPER(X, y_0)
bn:03627403n,bn:03835834n,bn:00182847n;video_game;3;true;true;0.665;3[o     0.528] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), DEVELOPER(X, y_0), PLATFORM(X, y_1)
bn:01876722n,bn:17248030n,bn:03838959n;video_game;3;true;true;0.66;3[o     0.520] INSTANCE_OF(X, bn:00021477n)
bn:13940260n,bn:17109552n,bn:04154532n;video_game;3;true;true;0.664;3[o     0.522] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PUBLISHER(X, y_0), PLATFORM(X, y_1), GENRE(X, y_2)
bn:03529996n,bn:01974474n,bn:02996921n;video_game;3;true;true;0.665;3[o     0.515] INSTANCE_OF(X, bn:00021477n)
bn:16112716n,bn:01826714n,bn:17577047n;video_game;3;true;true;0.664;3[o     0.531] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, bn:00081305n)
bn:02852975n,bn:03821796n,bn:02124657n;video_game;3;true;true;0.663;3[o     0.514] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:01796096n,bn:00289747n,bn:16429450n;video_game;3;true;true;0.667;3[o     0.516] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0)
bn:03297119n,bn:00415797n,bn:00229495n;video_game;3;true;true;0.669;3[o     0.522] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), PUBLISHER(X, y_1), DEVELOPER(X, y_2)
bn:01453978n,bn:03723885n,bn:01735267n;video_game;3;true;true;0.664;3[o     0.526] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), GENRE(X, y_0), PLATFORM(X, y_1), PUBLISHER(X, y_2), DEVELOPER(X, y_3)
bn:00169738n,bn:15482095n,bn:03357647n;video_game;3;true;true;0.666;3[o     0.512] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), PUBLISHER(X, y_1)
bn:03423209n,bn:00946077n,bn:00223780n;video_game;3;true;true;0.663;3[o     0.524] INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PUBLISHER(X, y_0), DEVELOPER(X, y_1), GENRE(X, y_2), PLATFORM(X, y_3)
bn:00359540n,bn:03146981n,bn:03611452n;video_game;3;true;true;0.665;3[o     0.507] INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:10238076n,bn:16621906n,bn:02915274n;video_game;3;true;true;0.666;3[o     0.523] INSTANCE_OF(X, bn:00021477n)
bn:02966547n,bn:03301083n,bn:14711121n;video_game;3;true;true;0.664;3[o     0.519] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), PUBLISHER(X, y_1)
bn:14667448n,bn:01480299n,bn:15742513n;video_game;3;true;true;0.665;3[o     0.511] INSTANCE_OF(X, bn:00021477n)
bn:01696301n,bn:02273938n,bn:02818396n;video_game;3;true;true;0.67;3[o     0.519] GAME_MODE(X, bn:03278131n), INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1)
